Data;Aktywnoœæ;ID;Wejœcia;Podstawa;Pozycja;Km CAN;Wyjœcia;RPM CAN;Prêdkoœæ CAN;Poziom Paliwa;Licznika paliwa CAN;Kierowca 1;Kierowca 2;Zamek naczepy;Debug;ANA1;ANA2;Identycikacja1;Identycikacja2;Termometr 1;Termometr 2;Termometr 1,2 x10;Termometr 3;Termometr 3,4 x10;Tech Stat;Licznik We 11;VIN Naczepy
13-06-2023 02:09:40;C;431189 ;;SQ:31 (23430) SAT:0 v:91 25.7V 2G 0km/h;51,325,500,986,300 fix: false;557850;null;null;null;41;138968;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
13-06-2023 02:11:11;C;431190 ;;SQ:31 (23430) SAT:0 v:91 25.7V 2G 0km/h;51,325,500,986,300 fix: false;557850;null;null;null;41;138968;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
13-06-2023 02:12:40;C;431191 ;;SQ:31 (23430) SAT:0 v:91 25.7V 2G 0km/h;51,325,500,986,300 fix: false;557850;null;null;null;41;138968;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
13-06-2023 02:14:11;C;431192 ;;SQ:31 (23430) SAT:0 v:91 25.7V 2G 0km/h;51,325,500,986,300 fix: false;557850;null;null;null;41;138968;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
13-06-2023 02:15:40;C;431193 ;;SQ:31 (23430) SAT:0 v:91 25.7V 2G 0km/h;51,325,500,986,300 fix: false;557850;null;null;null;41;138968;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
13-06-2023 02:17:11;C;431194 ;;SQ:31 (23430) SAT:0 v:91 25.7V 2G 0km/h;51,325,500,986,300 fix: false;557850;null;null;null;41;138968;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
13-06-2023 02:18:40;C;431195 ;;SQ:31 (23430) SAT:0 v:91 25.7V 2G 0km/h;51,325,500,986,300 fix: false;557850;null;null;null;41;138968;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
13-06-2023 02:20:11;C;431196 ;;SQ:31 (23430) SAT:0 v:91 25.7V 2G 0km/h;51,325,500,986,300 fix: false;557850;null;null;null;41;138968;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
13-06-2023 02:21:41;C;431197 ;;SQ:31 (23430) SAT:0 v:91 25.5V 2G 0km/h;51,325,500,986,300 fix: false;557850;null;null;null;41;138968;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
13-06-2023 02:23:11;C;431198 ;;SQ:31 (23430) SAT:0 v:91 25.5V 2G 0km/h;51,325,500,986,300 fix: false;557850;null;null;null;41;138968;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
13-06-2023 02:24:41;C;431199 ;;SQ:31 (23430) SAT:0 v:91 25.5V 2G 0km/h;51,325,500,986,300 fix: false;557850;null;null;null;41;138968;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
13-06-2023 02:26:11;C;431200 ;;SQ:31 (23430) SAT:0 v:91 25.5V 2G 0km/h;51,325,500,986,300 fix: false;557850;null;null;null;41;138968;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
13-06-2023 02:27:41;C;431201 ;;SQ:31 (23430) SAT:0 v:91 25.5V 2G 0km/h;51,325,500,986,300 fix: false;557850;null;null;null;41;138968;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
13-06-2023 02:29:11;C;431202 ;;SQ:31 (23430) SAT:0 v:91 25.5V 2G 0km/h;51,325,500,986,300 fix: false;557850;null;null;null;41;138968;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
13-06-2023 02:30:41;C;431203 ;;SQ:31 (23430) SAT:0 v:91 25.5V 2G 0km/h;51,325,500,986,300 fix: false;557850;null;null;null;41;138968;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
13-06-2023 02:32:11;C;431204 ;;SQ:31 (23430) SAT:0 v:91 25.5V 2G 0km/h;51,325,500,986,300 fix: false;557850;null;null;null;41;138968;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
13-06-2023 02:33:41;C;431205 ;;SQ:31 (23430) SAT:0 v:91 25.5V 2G 0km/h;51,325,500,986,300 fix: false;557850;null;null;null;41;138968;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
13-06-2023 02:35:11;C;431206 ;;SQ:31 (23430) SAT:0 v:91 25.5V 2G 0km/h;51,325,500,986,300 fix: false;557850;null;null;null;41;138968;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
13-06-2023 02:36:41;C;431207 ;;SQ:31 (23430) SAT:0 v:91 25.5V 2G 0km/h;51,325,500,986,300 fix: false;557850;null;null;null;41;138968;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
13-06-2023 02:38:11;C;431208 ;;SQ:31 (23430) SAT:0 v:91 25.5V 2G 0km/h;51,325,500,986,300 fix: false;557850;null;null;null;41;138968;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
13-06-2023 02:39:41;C;431209 ;;SQ:31 (23430) SAT:0 v:91 25.6V 2G 0km/h;51,325,500,986,300 fix: false;557850;null;null;null;41;138968;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
13-06-2023 02:41:11;C;431210 ;;SQ:31 (23430) SAT:0 v:91 25.6V 2G 0km/h;51,325,500,986,300 fix: false;557850;null;null;null;41;138968;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
13-06-2023 02:42:41;C;431211 ;;SQ:31 (23430) SAT:0 v:91 25.6V 2G 0km/h;51,325,500,986,300 fix: false;557850;null;null;null;41;138968;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
13-06-2023 02:44:11;C;431212 ;;SQ:31 (23430) SAT:0 v:91 25.6V 2G 0km/h;51,325,500,986,300 fix: false;557850;null;null;null;41;138968;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
